sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
162;pms5003;73;-1.421;36.953;2020-01-25T03:55:08.849233+00:00;P2;6.60
162;pms5003;73;-1.421;36.953;2020-01-25T03:55:08.849233+00:00;P1;7.80
162;pms5003;73;-1.421;36.953;2020-01-25T03:55:08.849233+00:00;P0;3.00
162;pms5003;73;-1.421;36.953;2020-01-28T13:09:58.333636+00:00;P2;4.00
162;pms5003;73;-1.421;36.953;2020-01-28T13:09:58.333636+00:00;P1;7.00
162;pms5003;73;-1.421;36.953;2020-01-28T13:09:58.333636+00:00;P0;2.20
162;pms5003;73;-1.421;36.953;2020-01-30T03:39:44.568737+00:00;P2;25.80
162;pms5003;73;-1.421;36.953;2020-01-30T03:39:44.568737+00:00;P1;29.60
162;pms5003;73;-1.421;36.953;2020-01-30T03:39:44.568737+00:00;P0;15.20
